id,title,date,year,period,period_norm,creator,country,country_pt,medium,medium_norm,support,source_archive,url,thumbnail_url,description,citation_abnt,motif_str,tags_str,in_scope,scope_note,desincorporacao,rigidez_postural,dessexualizacao,uniformizacao_facial,heraldizacao,enquadramento_arquitetonico,apagamento_narrativo,monocromatizacao,serialidade,inscricao_estatal,purificacao_composto,regime_iconocratico,coded_by,coded_at,notes
AR-001,"Allegory, Liberty Seated — Selo definitivo da República Argentina",1899-1903,1899,República Argentina consolidada (1899),República Argentina consolidada (1899),Correos de la República Argentina,Argentina,Argentina,"Selo postal (gravura a talhe-doce, 21x26mm)",Selo,selo,,https://colnect.com/en/stamps/stamp/128820-Allegory_Liberty_Seated-Allegory-Argentina,,"Figura feminina de Liberty sentada, braço esquerdo apoiado em escudo com brasão argentino, sol nascente sobre o oceano ao fundo. Série definitiva de 22 selos. Tiragem do 1c verde: 70.920.000.",,"Libertad Sentada, Argentina","corpus/candidato, pais/AR, suporte/selo, regime/normativo, motivo/liberty",True,,1,2,2,2,2,3,1,2,3,3,2.1,normativo,iconocode-opus-4.6-metadata-refined,2026-04-07,
AT-001,Zeichnet 8. Kriegsanleihe,1918,1918,Império Austro-Húngaro / WWI (1918),Império Austro-Húngaro / WWI (1918),"R.K. (monogramado, não identificado)",Austria,Áustria,Affiche lithographique en couleur,Cartaz,cartaz,,https://www.loc.gov/item/2004666193/,,"Figura feminina clássica segura espada numa mão e balança na outra. De um lado da balança, uma pomba da paz (mais pesada); do outro, moedas. Alegoria de que a paz supera o dinheiro, mas dinheiro é necessário para alcançá-la. Publicado em Viena.",,"Justitia, empréstimo de guerra","corpus/candidato, pais/AT, suporte/cartaz, regime/militar, motivo/justitia",True,,1,1,2,2,2,1,2,1,2,2,1.6,militar,iconocode-opus-4.6-metadata-refined,2026-04-07,
BE-001,"Allégorie de la Justice (Joseph Stallaert, Brussels City Hall)",1885–1888,1885,19th century,Séc. XIX,Joseph Stallaert,Belgium,Bélgica,Painting (ceiling),Outro,pintura,Brussels Heritage Collections,https://collections.heritage.brussels/fr/objects/36822,,"Allegorical painting of Justice in the Mayor's Cabinet of Brussels City Hall, by Joseph Stallaert. Part of a triptych with Charity and Foresight — three female allegorical virtues required of a mayor. Justice symbolized by scales and sword. A Belgian civic example connecting female virtue to political authority.","STALLAERT, Joseph. Allégorie de la Justice. 1885–1888. 1 pintura (teto). Hôtel de Ville, Bruxelles. Disponível em: https://collections.heritage.brussels/fr/objects/36822.","Justice, Charity, Foresight, civic virtue","Justice, Stallaert, Brussels, city hall, ceiling painting, civic virtue, Belgium",True,,1,2,2,2,1,2,2,0,0,2,1.4,normativo,iconocode-opus,2026-03-31T23:00:00Z,
BE-002,Palais de Justice de Bruxelles (Joseph Poelaert),1866–1883,1866,19th century,Séc. XIX,Joseph Poelaert (architect),Belgium,Bélgica,Architectural complex with allegorical sculpture,Outro,monumento,Wikimedia Commons,https://be-monumen.be/patrimoine-belge/poelaert-joseph/,https://upload.wikimedia.org/wikipedia/commons/1/10/Bruxelles_-_Palais_de_Justice.jpg,The Brussels Palace of Justice — one of the largest courthouses ever built and a monument to 19th-century legal grandeur. The 'pompous staircase with sculptures attired in Roman robes' and allegorical female figures throughout. Poelaert's design made the Belgian state visible through classical feminine allegory. Central to the dissertation's Belgian case study and Huygebaert's colonial paternalism analysis.,"POELAERT, Joseph. Palais de Justice de Bruxelles. 1866–1883. Complexo arquitetônico. Bruxelles. Disponível em: https://be-monumen.be/patrimoine-belge/poelaert-joseph/.","Justice, classical allegory, civic architecture, colonialism","Justice, Poelaert, Brussels, courthouse, architecture, colonialism, Belgium",True,,3,3,3,3,3,3,3,3,3,3,3.0,normativo,iconocode-opus,2026-03-31T23:00:00Z,
BE-5F-LEOPOLD-1832,5 Francs — Léopold I (founding coin of Belgium),1832-1849,1832,1832-1849,1832-1849,,Belgium,Bélgica,Moeda,Moeda,moeda,Numista,https://en.numista.com/catalogue/pieces255.html,,AUSENCIA ALEGORICA — portrait of Léopold I,,AUSENCIA ALEGORICA — portrait of Léopold I,"corpus/candidato, corpus/controle-negativo, pais/BE, suporte/moeda, regime/fundacional, #ausencia-alegorica, #decisao-metodologica",True,,,,,,,,,,,,,,,,
BE-CONGO-100F-1912,100 Francs Banque du Congo Belge — Allegory of Europe Kneeling with African Boys,1912-1929,1912,Colonial period (1912-1929),Período colonial (1912-1929),Banque du Congo Belge,Belgium,Bélgica,Banknote,Papel-moeda,papel-moeda,Numista,https://en.numista.com/258715,,"European woman kneeling, holding fabric. Two African boys — one seated, one standing holding medallion with profile of crowned European woman. Elephant tusks and exotic fruits on the ground. Paternalistic colonial imagery: the European woman 'civilizes' through textile/clothing. The medallion creates a mise en abyme: the colonized subject holds the image of the sovereign.",BANQUE DU CONGO BELGE. 100 Francs. 1912-1929. Papel-moeda. Disponível em: https://en.numista.com/258715. Acesso em: 11 abr. 2026.,"Allegory of Europe, La Belgique, colonial","female allegory, La Belgique, colonial, Congo, racial visual contract",True,,,,,,,,,,,,,,,,
BE-CONGO-MON-1921,Monument aux Pionniers Belges au Congo — La Race Noire Accueillie par la Belgique,1911-1921,1911,Colonial period (1911-1921),Período colonial (1911-1921),Thomas Vinçotte,Belgium,Bélgica,Sculpture (Euville limestone),Monumento,monumento,Wikipedia,https://en.wikipedia.org/wiki/Monument_to_the_Belgian_Pioneers_in_Congo,,"La Belgique seated, holding torch, lifting veil for a semi-nude African woman presenting her children. The European allegory is clothed, static, authoritative; the African woman is semi-nude, subordinate. Racialized ENDURECIMENTO: white woman hardened/dressed vs. Black woman exposed/submitted. Vinçotte also sculpted the equestrian statue of Leopold II.","VINÇOTTE, Thomas. Monument aux Pionniers Belges au Congo. 1911-1921. Escultura em calcário de Euville. Parc du Cinquantenaire, Bruxelles. Disponível em: https://en.wikipedia.org/wiki/Monument_to_the_Belgian_Pioneers_in_Congo. Acesso em: 11 abr. 2026.","La Belgique, colonial, African woman","female allegory, La Belgique, colonial, Congo, racial visual contract",True,,,,,,,,,,,,,,,,
BE-IND-1880,5 Francs — 50 ans de Belgique: La Belgique avec Constitution et Lion,1880,1880,Kingdom of Belgium (1880),Reino da Bélgica (1880),Charles Wiener (engraver),Belgium,Bélgica,"Coin (silver, commemorative)",coin,moeda,Numista,https://en.numista.com/catalogue/pieces27258.html,,"Commemorative coin for 50th anniversary of Belgian independence. Reverse: personification of Belgium leaning on lion, holding Belgian Constitution. Congress Column to left, Brussels Palace of Justice to right. Obverse: jugate busts of Leopold I and Leopold II.","MONNAIE ROYALE DE BELGIQUE. 5 Francs — 50 ans de Belgique. 1880. Moeda, prata. Design: Charles Wiener. Disponível em: https://en.numista.com/catalogue/pieces27258.html. Acesso em: 01 abr. 2026.",La Belgique,"female allegory, La Belgique, constitution, independence",True,,0,2,2,2,2,3,1,4,2,3,2.1,fundacional,iconocode-opus,2026-04-01T12:00:00Z,
BE-CONGO-1912,20 Francs Belgian Congo — Allegory of Europe with Mace and African Woman with Ivory Tusk,1912-1937,1912,Belgian Congo (1912-1937),Congo Belga (1912-1937),Banque du Congo Belge,Belgium,Bélgica,"Banknote (paper money, colonial)",banknote,papel-moeda,Numista,https://en.numista.com/catalogue/note258714.html,,"Woman as allegory of Europe/Belgium holding mace placed on anvil. African woman at her side holding elephant ivory tusk. Explicit colonial visual hierarchy: white allegorical figure clothed and armed, African figure offering colonial wealth.",BANQUE DU CONGO BELGE. 20 Francs. 1912-1937. Papel-moeda. Disponível em: https://en.numista.com/catalogue/note258714.html. Acesso em: 01 abr. 2026.,"La Belgique, allegory of Europe","female allegory, La Belgique, colonial, Congo, racial contract",True,,0,3,2,2,2,2,1,2,3,4,2.1,militar,iconocode-opus,2026-04-01T12:00:00Z,
BR-001,Estátua feminina na abertura da amostra dos produtos do Rio Grande do Sul,1908,1908,Early Republic (1889–1930),República/Império (BR),José Boscagli (photographer),Brazil,Brasil,Photograph (p&b),Fotografia,fotografia,Brasiliana Fotográfica,https://brasilianafotografica.bn.gov.br/brasiliana/handle/20.500.12156.1/11778,https://brasilianafotografica.bn.gov.br/brasiliana/bitstream/handle/20.500.12156.1/11778/0000001.JPG.jpg?sequence=3&isAllowed=y,Black and white photograph showing a female statue displayed at the National Exhibition of 1908. Female allegorical figure representing progress and abundance at the Rio Grande do Sul exhibition pavilion.,"BOSCAGLI, José. [Estátua feminina na abertura da amostra dos produtos do Rio Grande do Sul]. 1908. 1 fotografia, p&b, 16,5 x 23 cm. Museu Histórico Nacional. Disponível em: https://brasilianafotografica.bn.gov.br/brasiliana/handle/20.500.12156.1/11778.","Alegoria feminina, Exposição Nacional, Estátua","female allegory, exhibition, statue, Republic, Rio Grande do Sul",True,,1,1,2,1,1,1,2,3,1,1,1.4,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
BR-002,"Detalhe do monumento à República, Praça da República, Belém",1940,1940,Estado Novo (1937–1945),Estado Novo,Unknown (Getúlio Vargas visit album),Brazil,Brasil,Photograph (p&b),Fotografia,fotografia,Brasiliana Fotográfica,https://brasilianafotografica.bn.gov.br/brasiliana/handle/20.500.12156.1/13609,https://brasilianafotografica.bn.gov.br/brasiliana/bitstream/handle/20.500.12156.1/13609/GV%20dvft%20004%20-%20Visita%20de%20Get%c3%balio%20a%20Bel%c3%a9m%20do%20Par%c3%a1%20Out19400000095.JPG.jpg?sequence=3&isAllowed=y,"Close-up detail of female allegorical figure holding a flag, standing on a lion. Part of the Monument to the Republic in Praça da República, Belém. The female figure personifies the Brazilian Republic with classical republican iconography — flag, lion (strength), classical garb.","MONUMENTO à República, Praça da República, Belém. 1940. 1 fotografia, p&b. In: Álbum de fotografias da visita de Getúlio Vargas a Belém. Museu da República/IBRAM. Disponível em: https://brasilianafotografica.bn.gov.br/brasiliana/handle/20.500.12156.1/13609.","República, Alegoria feminina, Monumento, Bandeira","Republic monument, female allegory, Belém, Getúlio Vargas, Estado Novo",True,,1,2,2,2,1,1,2,3,1,2,1.7,normativo,iconocode-opus,2026-03-31T23:00:00Z,
BR-003,"Monumento à República, Praça da República, Belém (vista geral)",1940,1940,Estado Novo (1937–1945),Estado Novo,Unknown (Getúlio Vargas visit album),Brazil,Brasil,Photograph (p&b),Fotografia,fotografia,Brasiliana Fotográfica,https://brasilianafotografica.bn.gov.br/brasiliana/handle/20.500.12156.1/13611,https://brasilianafotografica.bn.gov.br/brasiliana/bitstream/handle/20.500.12156.1/13611/GV%20dvft%20004%20-%20Visita%20de%20Get%c3%balio%20a%20Bel%c3%a9m%20do%20Par%c3%a1%20Out19400000097.JPG.jpg?sequence=3&isAllowed=y,"Full view of Monument to the Republic with female allegorical figure atop a column in Praça da República, Belém. The towering female figure dominates the urban landscape, arms raised, embodying the Republic.","MONUMENTO à República, Praça da República, Belém. 1940. 1 fotografia, p&b. In: Álbum de fotografias da visita de Getúlio Vargas a Belém. Museu da República/IBRAM. Disponível em: https://brasilianafotografica.bn.gov.br/brasiliana/handle/20.500.12156.1/13611.","República, Alegoria feminina, Monumento, Coluna","Republic monument, female allegory, Belém, column, Estado Novo",True,,2,2,2,2,2,2,3,3,1,2,2.1,normativo,iconocode-opus,2026-03-31T23:00:00Z,
