id,endurecimento_core,monocromatizacao_score,formalizacao_bur,PC1,PC2,PC3
AR-001,2.0,2.0,3.0,2.1838,1.1296,-0.6721
AT-001,1.625,1.0,2.0,0.8351,0.0725,-0.9873
BE-001,1.75,0.0,1.0,0.5096,-1.7983,-1.4257
BE-002,3.0,3.0,3.0,5.505,-0.5607,-0.0114
BE-IND-1880,1.875,4.0,2.5,1.945,1.4008,1.1545
BE-CONGO-1912,2.0,2.0,3.5,2.2596,1.8886,-0.6596
BR-001,1.25,3.0,1.0,-0.2752,-0.6765,1.0641
BR-002,1.625,3.0,1.5,0.9224,-0.601,0.8777
BR-003,2.125,3.0,1.5,2.3322,-1.2277,0.8199
BR-004,0.5,2.0,0.5,-2.5596,-0.3187,0.8457
BR-005,1.125,0.0,1.5,-1.1012,-0.5545,-1.8187
BR-006,0.875,0.0,0.5,-1.905,-1.2848,-1.6924
BR-007,2.25,3.0,1.0,3.3913,-1.9608,0.5662
BR-008,2.5,3.0,1.0,4.0289,-2.4278,1.025
BR-009,2.125,2.0,3.0,2.4159,-0.03,-0.289
BR-010,0.625,0.0,0.5,-2.9868,-0.8056,-1.0746
BR-016,2.125,0.0,2.0,1.7427,-0.6848,-1.8872
BR-2000R-1907,2.875,4.0,4.0,5.403,0.4263,0.5277
DE-001,0.875,0.0,1.0,-2.2546,-0.9598,-1.6573
DE-002,2.625,3.0,1.5,3.5751,-1.5995,0.2681
DE-003,0.5,3.0,0.5,-2.3743,-0.4551,1.2239
DE-004,2.0,2.0,1.0,1.4645,-2.0563,-0.0319
DE-005,1.5,1.0,0.0,-0.0141,-2.1878,-0.1787
DE-006,0.75,3.0,0.5,-1.7252,-0.461,1.804
DE-007,0.75,3.0,0.5,-1.597,-0.4779,1.3505
DE-008,1.875,2.0,0.5,1.1982,-2.4026,0.2571
DE-009,1.875,2.0,1.0,1.1457,-1.8228,-0.2613
DE-010,1.375,2.0,0.5,-0.3654,-1.528,0.3389
DE-011,2.0,2.0,1.0,1.4645,-2.0563,-0.0319
DE-012,0.375,0.0,0.0,-3.7183,-1.1856,-0.1977
DE-013,1.625,0.0,2.5,0.6339,-0.095,-1.8426
DE-014,1.75,1.0,2.0,1.3009,-0.428,-1.2811
DE-015,0.5,2.0,1.5,-2.4242,1.1689,0.1722
DE-NOTG-1921,0.375,0.0,2.5,-3.12,1.9381,-1.5665
DE-WR-1919-50M,2.125,2.0,3.0,2.5556,0.4142,-0.6212
DE-WR-1924-50PF,2.0,3.0,3.0,2.4455,0.9323,-0.1931
DE-GERM-1900,2.75,3.0,3.5,4.9446,0.1974,-0.0608
DE-GERM-BELG-1914,2.875,3.0,3.5,4.9923,-0.0738,-0.2829
ES-001,0.5,1.0,1.5,-2.5381,1.1076,-0.7485
ES-002,0.125,0.0,1.0,-3.9136,0.4572,-1.1314
ES-003,1.375,3.0,3.0,0.3052,2.6001,0.1907
ES-004,2.125,3.0,3.0,2.6639,1.069,0.3465
EU-001,1.375,3.0,0.5,-0.081,-1.3127,1.0157
EU-002,0.5,1.0,0.0,-2.9156,-1.4185,-0.2875
EU-003,1.0,3.0,0.5,-0.9885,-0.7724,1.5771
EU-004,0.875,3.0,0.5,-1.3073,-0.5389,1.3476
EU-005,1.625,2.0,0.5,0.5658,-1.7988,0.4414
EU-006,0.875,3.0,0.0,-1.4968,-1.3289,1.6468
EU-007,0.75,1.0,0.5,-1.9196,-0.8238,-0.2277
EU-008,0.5,3.0,0.0,-2.593,-1.0726,1.2908
EU-009,1.75,2.0,0.5,1.0775,-2.0699,0.1601
FR-001,0.5,2.0,0.5,-2.5356,-0.6281,0.4348
FR-002,0.5,2.0,0.5,-2.5356,-0.6281,0.4348
FR-003,0.75,2.0,0.5,-1.7583,-0.6508,0.5614
FR-004,1.0,2.0,1.0,-1.0741,-0.3824,-0.1839
FR-005,0.25,2.0,0.5,-3.4794,0.4132,0.8644
FR-006,0.75,2.0,1.0,-1.5397,-0.0333,0.4946
FR-007,1.875,1.0,2.0,1.6198,-0.6615,-1.0517
FR-008,1.125,1.0,2.0,-0.7213,0.2359,-1.0965
FR-009,2.375,3.0,2.5,3.2591,-0.455,0.5812
FR-010,0.375,2.0,0.5,-2.8618,0.3167,0.3964
FR-011,1.0,2.0,0.5,-1.02,-1.0801,0.1904
FR-012,0.125,0.0,0.0,-4.3086,-0.607,-0.7881
FR-013,1.875,1.0,2.0,1.5667,-0.1797,-0.8731
FR-014,1.875,1.0,2.0,1.5667,-0.1797,-0.8731
FR-015,1.125,2.0,1.5,-0.694,0.191,0.1999
FR-016,1.125,2.0,1.5,-0.694,0.191,0.1999
FR-017,1.125,2.0,1.5,-0.694,0.191,0.1999
FR-018,1.5,2.0,1.5,0.2592,-0.1199,-0.3491
FR-019,1.0,1.0,1.5,-0.9876,-0.1104,-0.8076
FR-020,1.5,0.0,0.5,-0.0755,-1.9111,-1.3662
FR-021,0.25,0.0,0.5,-4.0423,-0.2607,-1.077
FR-022,0.125,1.0,0.5,-3.971,0.0126,-0.2754
FR-023,2.0,3.0,2.5,2.256,0.1422,0.1061
FR-024,1.75,2.0,2.5,1.3858,0.6341,-0.5994
FR-025,0.875,1.0,2.0,-1.6394,0.85,-1.2218
FR-026,1.25,1.0,2.0,-0.2577,0.3874,-1.5404
FR-027,2.25,2.0,3.0,3.0616,0.7365,-0.8556
FR-028,0.25,1.0,1.0,-3.8329,0.3758,-0.1108
FR-029,1.25,2.0,2.5,-0.0094,1.1361,-0.1675
FR-030,1.625,0.0,2.0,0.6395,0.1313,-1.6676
FR-031,0.25,0.0,1.0,-3.4551,0.6679,-1.2342
FR-032,0.25,2.0,1.0,-3.1325,1.0138,0.3441
FR-033,0.375,2.0,1.5,-2.8662,1.3601,0.0552
FR-036,1.5,2.0,2.5,0.2971,1.0943,-0.4807
FR-038,1.125,2.0,1.5,-0.936,-0.0192,-0.0193
FR-039,0.75,2.0,1.5,-2.0395,0.9483,-0.1843
FR-040,0.75,2.0,1.5,-2.0395,0.9483,-0.1843
FR-047,0.5,2.0,1.0,-2.6006,0.7222,0.4486
FR-SEM-1898,2.375,3.0,3.0,3.3254,0.2926,0.3944
FR-PIAST-1885,2.125,4.0,3.5,3.3427,2.1925,1.3556
FR-HERC-1870,1.125,4.0,3.0,-0.0821,2.6047,1.0739
FR-SEM-SELO-1903,1.375,3.0,3.5,0.6129,2.5822,0.6767
IT-005,1.25,1.0,2.0,-0.4201,0.6361,-0.9781
IT-006,2.625,3.0,3.0,4.3849,0.005,0.0435
IT-007,2.375,3.0,3.0,3.4651,0.7369,0.0622
