id,image_url,fetch_status,license,custody,title_on_page,date_on_page,creator_on_page,source_url,recovery_round,notes
AT-001,https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g11000/3g11900/3g11952v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,Zeichnet 8. Kriegsanleihe / R.K.,1918,,https://www.loc.gov/item/2004666193/,r1_api,
BE-001,https://collections.heritage.brussels/medias/500/objects/30/K_1888_17_1.jpg,verified_direct,See source page,collections.heritage.brussels,,,,https://collections.heritage.brussels/fr/objects/36822,r1_api,
BE-CONGO-MON-1921,https://upload.wikimedia.org/wikipedia/commons/a/ad/Monument_aux_pionniers_belges_au_Congo_01.JPG,verified_direct,See Wikimedia Commons file page for per-image license,en.wikipedia.org,Monument to the Belgian Pioneers in Congo,,,https://en.wikipedia.org/wiki/Monument_to_the_Belgian_Pioneers_in_Congo,r1_api,"Monument in Brussels, Belgium"
BR-010,https://eliseuvisconti.com.br/wp-content/uploads/2017/06/D702.jpg,verified_direct,See source page,eliseuvisconti.com.br,,,,https://eliseuvisconti.com.br/obra/d702/,r1_api,
DE-014,https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g11000/3g11200/3g11292v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,Helft uns siegen! Zeichnet die Kriegsanleihe / Erler.,1917,,https://www.loc.gov/item/2004665855/,r1_api,
DE-GERM-1900,https://upload.wikimedia.org/wikipedia/commons/e/e2/Germania5pf1900.jpg,verified_direct,See Wikimedia Commons file page for per-image license,en.wikipedia.org,Germania (stamp),,,https://en.wikipedia.org/wiki/Germania_(stamp),r1_api,Series of postage stamps from Germany
FR-008,https://api.europeana.eu/thumbnail/v3/400/33759a46b7ceb3e95960304b2fa2e949,verified_direct,See Europeana page,www.europeana.eu,,,,https://www.europeana.eu/en/item/9200518/ark__12148_btv1b10510623s,r1_api,
FR-009,https://api.europeana.eu/thumbnail/v3/400/4e8fe59f172fb50c4b314e4660de7d5a,verified_direct,See Europeana page,www.europeana.eu,,,,https://www.europeana.eu/en/item/9200518/ark__12148_btv1b6952880n,r1_api,
FR-010,https://api.europeana.eu/thumbnail/v3/400/8042f63d1d665dcdac6352c87c6674e7,verified_direct,See Europeana page,www.europeana.eu,,,,https://www.europeana.eu/en/item/9200518/ark__12148_btv1b8577646g,r1_api,
FR-032,https://images.metmuseum.org/CRDImages/dp/original/DP877935.jpg,verified_direct,Public domain — CC0,www.metmuseum.org,"Peace, an idyll, from 'News of the day,' published in Le Charivari, March 6, 1871","March 6, 1871",,https://www.metmuseum.org/art/collection/search/757244,r1_api,"Rogers Fund, 1922"
FR-033,https://images.metmuseum.org/CRDImages/dp/original/DP877808.jpg,verified_direct,Public domain — CC0,www.metmuseum.org,"The Empire means Peace, from 'News of the day,' published in Le Charivari, October 19, 1870","October 19, 1870",,https://www.metmuseum.org/art/collection/search/757135,r1_api,"Rogers Fund, 1922"
IT-005,https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g12000/3g12000/3g12067v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,Sottoscrivete al prestito / G. Capranesi.,1917,,https://www.loc.gov/item/2004666216/,r1_api,
MX-002,https://repositorio.inah.gob.mx/_flysystem/fedora/2024-05/pintura_3081.jpg,verified_direct,See source page,mediateca.inah.gob.mx,,,,https://mediateca.inah.gob.mx/islandora_74/islandora/object/pintura:3081,r1_api,
PT-007,https://upload.wikimedia.org/wikipedia/commons/b/b1/1912_Bistre_Portugal_Yv213.jpg,verified_direct,See Wikimedia Commons file page for per-image license,en.wikipedia.org,Ceres series (Portugal),,,https://en.wikipedia.org/wiki/Ceres_series_(Portugal),r1_api,
UK-006,https://media.iwm.org.uk/ciim5/145/831/large_000000.jpg,verified_direct,See source page,www.iwm.org.uk,,,,https://www.iwm.org.uk/collections/item/object/14592,r1_api,
UK-009,https://media.iwm.org.uk/ciim5/149/129/large_000000.jpg,verified_direct,See source page,www.iwm.org.uk,,,,https://www.iwm.org.uk/collections/item/object/21133,r1_api,
UK-FLORIN-1902,https://collections.museumsvictoria.com.au/content/media/18/177318-medium.jpg,verified_direct,See source page,collections.museumsvictoria.com.au,,,,https://collections.museumsvictoria.com.au/items/77020,r1_api,
UK-PENNY-1912,https://collections.museumsvictoria.com.au/content/media/46/413396-medium.jpg,verified_direct,See source page,collections.museumsvictoria.com.au,,,,https://collections.museumsvictoria.com.au/items/57610,r1_api,
US-008,https://tile.loc.gov/storage-services/service/pnp/ppmsc/00000/00032v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,"[German actress Hedwig Reicher wearing costume of ""Columbia"" with other suffrage pageant participants standing in background in front of the Treasury Building, March 3, 1913, Washington, D.C.]",1913,,https://www.loc.gov/item/97510759/,r1_api,
US-009,https://tile.loc.gov/storage-services/service/pnp/ppmsca/57600/57686v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,[The Goddess of Liberty],1861,,https://www.loc.gov/item/2018664118/,r1_api,
US-010,https://tile.loc.gov/storage-services/service/pnp/ppmsca/17500/17520v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,Temple of liberty,1834,,https://www.loc.gov/item/2008661765/,r1_api,
US-011,https://tile.loc.gov/storage-services/service/pnp/ppmsca/40900/40985v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,"Wake up America! Civilization calls every man, woman and child! / James Montgomery Flagg.",1917,,https://www.loc.gov/item/91726511/,r1_api,
US-012,https://tile.loc.gov/storage-services/service/pnp/ppmsca/50000/50012v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,Columbia calls--Enlist now for U.S. Army / designed by Frances Adams Halsted ; painted by V. Aderente.,1916,,https://www.loc.gov/item/95506508/,r1_api,
US-016,https://tile.loc.gov/storage-services/service/pnp/ppmsca/40900/40985v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,"Wake up America! Civilization calls every man, woman and child! / James Montgomery Flagg.",1917,,https://www.loc.gov/item/91726511/,r1_api,
US-017,https://tile.loc.gov/storage-services/service/pnp/ppmsca/50000/50012v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,Columbia calls--Enlist now for U.S. Army / designed by Frances Adams Halsted ; painted by V. Aderente.,1916,,https://www.loc.gov/item/95506508,r1_api,
US-018,https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g09000/3g09700/3g09735v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,"Fight or buy bonds--Third Liberty Loan / Howard Chandler Christy 1917 ; Forbes, Boston.",1917,,https://www.loc.gov/item/2002708939/,r1_api,
US-019,https://tile.loc.gov/storage-services/service/pnp/cph/3c30000/3c35000/3c35000/3c35065v.jpg,verified_direct,No known restrictions on publication.,www.loc.gov,Liberty is not anarchy / Th. Nast.,1886,,https://www.loc.gov/item/2004679037/,r1_api,
BR-006,https://mhn.acervos.museus.gov.br/wp-content/uploads/tainacan-items/627609/669338/006232.jpg,broken_url,"Domínio público, ver [Museu Histórico Nacional](http://mhn.acervos.museus.gov.br/uso-de-imagem/)",Museu Histórico Nacional,Alegoria da República,1922,Carlos Chambelland,https://brasiliana.museus.gov.br/acervos/alegoria-da-republica/,r2_browser,"Oil on canvas (óleo sobre tela). Dimensions: 202.00 cm x 152.00 cm. Register number 6232. The painting features an allegory of the Republic as a female figure in light robes, accompanied by male figures, angels, and a globe inscribed with 'PROGRE'. Identification code: f9686ffb4f947dbec319d3d63abefccf."
