item_title,country,year,medium,source_url,image_url,visual_description_body_posture,visual_description_attributes
5 Centimes Marianne (Dupré),France,1800,coin,https://en.numista.com/catalogue/pieces886.html,https://en.numista.com/catalogue/photos/france/693f46941a6821.73008016-original.jpg,"A bust of Marianne, the national personification of France, shown in profile facing left. She is fully clothed in a draped garment.","She wears a Phrygian cap (liberty cap) on her head, which is a classic symbol of freedom and the Republic."
Standing Liberty Quarter,USA,1917,coin,https://en.numista.com/catalogue/pieces3573.html,https://en.numista.com/catalogue/photos/etats-unis/1645-original.jpg,"Liberty is depicted standing rigidly between two gate posts, looking over her left shoulder. In the Type 2 design, her right breast is covered by chainmail armor.","She holds a shield in her left hand and an olive branch in her right hand, representing a state of prepared peace."
Germania Art Medal (Rudolf Mayer),Germany,1918,historical engraving,https://en.numista.com/catalogue/exonumia435693.html,https://en.numista.com/catalogue/photos/allemagne-pre1945/66fab5317f4834.23600687-original.jpg,"A bust of Germania, the personification of the German nation, shown in profile facing right. She is depicted as a strong, mature woman.","She wears a wreath made of oak and laurel leaves on her head, representing strength and victory."
10 Centimes 50 Years of Belgium Independence,Belgium,1880,coin,https://en.numista.com/catalogue/pieces67982.html,https://en.numista.com/catalogue/photos/belgique/2825-original.jpg,"A female allegory of Belgium is depicted in a seated posture, leaning comfortably on a lion, which represents the Belgian nation.","She holds a tablet or book inscribed with 'CONSTITUTION BELGE' in one hand. In the background, the Column of Congress and the Brussels Courthouse are visible."
1000 Reis A República,Brazil,1924,coin,https://en.numista.com/catalogue/pieces3106.html,https://en.numista.com/catalogue/photos/bresil/2290-original.jpg,"The effigy of the Republic is shown as a female bust in profile, facing left. She is fully clothed.","She wears a Phrygian cap, a traditional symbol of the republican movement in Brazil."
Marianne type Gandon,France,1945,stamp,https://colnect.com/en/stamps/stamp/26356-Marianne_type_Gandon-Marianne-France,https://i.colnect.net/items/f/1005/580/Marianne-type-Gandon.jpg,"A profile view of Marianne facing left. This design by Pierre Gandon shows her with a determined expression, representing the liberation of France.","She wears the Phrygian cap, a staple attribute of the French Republic."
50 Pence Britannia,UK,1971,coin,https://en.numista.com/catalogue/pieces383.html,https://en.numista.com/catalogue/photos/royaume-uni/203-original.jpg,"Britannia is shown in a seated posture, facing right. She is fully clothed in classical robes.",She wears a Corinthian helmet and holds a trident in her right hand and a shield decorated with the Union Flag in her left hand. A lion rests at her feet.
1 Dollar British Trade Dollar (Britannia),UK,1895,coin,https://en.numista.com/catalogue/pieces19154.html,https://en.numista.com/catalogue/photos/royaume-uni/2397-original.jpg,"Britannia is depicted standing on the deck of a ship, moving forward. She is fully clothed in flowing robes that suggest motion.",She holds a trident in her right hand and a shield in her left. A merchant ship is visible in the background.
Peace and Friendship Medal (Columbia),USA,1865,historical engraving,https://en.numista.com/catalogue/exonumia380029.html,https://en.numista.com/catalogue/photos/exonumia/6561f30894a4b0.12595088-original.jpg,"Columbia, the early female personification of the USA, is standing and clasping the hand of an American Indian. She is fully clothed in a classic robe.",She is associated with a bust of Washington and symbols of peace.
Half Dollar Columbia Sesquicentennial,USA,1936,coin,https://en.numista.com/catalogue/pieces51963.html,https://en.numista.com/catalogue/photos/etats-unis/5348-original.jpg,The figure of Justice (often synonymous with Columbia in state contexts) stands between the old South Carolina State House and the new Capitol.,She holds the scales of justice in one hand and a sword in the other.
