motif,Justice/Justitia,Marianne,Alegoria feminina,République/República,Liberté/Liberty,Phrygian cap,Paix/Paz,Fasces,Cérès/Déméter,Force/Força,Semeuse,Declaração dos Direitos
Justice/Justitia,32,1,2,2,1,2,0,0,0,3,0,1
Marianne,1,20,8,2,3,2,2,1,0,0,0,0
Alegoria feminina,2,8,15,3,0,1,1,1,0,0,1,0
République/República,2,2,3,12,2,1,1,1,2,0,0,0
Liberté/Liberty,1,3,0,2,11,4,1,2,0,0,0,1
Phrygian cap,2,2,1,1,4,6,0,2,0,0,0,1
Paix/Paz,0,2,1,1,1,0,5,0,0,0,0,0
Fasces,0,1,1,1,2,2,0,3,0,0,0,0
Cérès/Déméter,0,0,0,2,0,0,0,0,3,0,0,0
Force/Força,3,0,0,0,0,0,0,0,0,3,0,0
Semeuse,0,0,1,0,0,0,0,0,0,0,3,0
Declaração dos Direitos,1,0,0,0,1,1,0,0,0,0,0,2
