item_id,regime,motif,endurecimento,conf,has_lacuna
d59aa292-df0,fundacional,Alegoria feminina,,0.45,1
0d805e40-ced,fundacional,Justice/Justitia,1.1,0.45,0
4e83a07f-ca7,fundacional,Justice/Justitia,,0.45,0
371f116f-4cf,fundacional,Alegoria feminina,1.3,0.45,0
8adb7337-286,fundacional,Alegoria feminina,1.3,0.45,0
b84f6d98-c8c,fundacional,Justice/Justitia,1.3,0.45,0
b84f6d98-c8c,fundacional,Alegoria feminina,1.3,0.45,0
29894605-5d6,fundacional,Justice/Justitia,1.8,0.7,0
29894605-5d6,fundacional,Liberté/Liberty,1.8,0.7,0
29894605-5d6,fundacional,Declaração dos Direitos,1.8,0.7,0
29894605-5d6,fundacional,Phrygian cap,1.8,0.7,0
cbb9963f-17a,fundacional,Declaração dos Direitos,1.8,0.7,0
35d51ab4-aa8,fundacional,Liberté/Liberty,,0.45,1
35d51ab4-aa8,fundacional,République/República,,0.45,1
e933260c-901,fundacional,Liberté/Liberty,,0.45,0
e933260c-901,fundacional,Fasces,,0.45,0
e933260c-901,fundacional,Phrygian cap,,0.45,0
dd101f3a-1eb,fundacional,Liberté/Liberty,,0.45,0
f0f589b2-8c1,fundacional,Liberté/Liberty,,0.45,0
56ed1d5a-5c2,fundacional,Liberté/Liberty,,0.45,0
56ed1d5a-5c2,fundacional,Fasces,,0.45,0
56ed1d5a-5c2,fundacional,Phrygian cap,,0.45,0
69df229d-aed,fundacional,Phrygian cap,0.3,0.45,0
69df229d-aed,fundacional,Liberté/Liberty,0.3,0.45,0
69df229d-aed,fundacional,Marianne,0.3,0.45,0
ee616189-04a,fundacional,Liberté/Liberty,0.1,0.45,0
ee616189-04a,fundacional,Marianne,0.1,0.45,0
f502f5cf-ed4,fundacional,République/República,,0.85,1
f502f5cf-ed4,fundacional,Cérès/Déméter,,0.85,1
1444ee85-06c,fundacional,République/República,,0.45,1
1444ee85-06c,fundacional,Cérès/Déméter,,0.45,1
9f77480d-852,fundacional,Justice/Justitia,,0.45,0
2852953b-8d7,fundacional,Justice/Justitia,,0.45,0
39ef732e-918,fundacional,Justice/Justitia,,0.45,0
b6d12c68-e76,fundacional,Justice/Justitia,1.5,0.45,0
b6d12c68-e76,fundacional,République/República,1.5,0.45,0
b6d12c68-e76,fundacional,Phrygian cap,1.5,0.45,0
0f062b69-9c7,fundacional,Égalité,1.5,0.45,0
0f062b69-9c7,fundacional,Liberté/Liberty,1.5,0.45,0
fb40f20f-d10,fundacional,Justice/Justitia,1.2,0.45,0
be9ffff5-7c2,normativo,Justice/Justitia,,0.45,1
be9ffff5-7c2,normativo,Alegoria feminina,,0.45,1
be9ffff5-7c2,normativo,République/República,,0.45,1
be9ffff5-7c2,normativo,Marianne,,0.45,1
958ca335-ae3,normativo,Justice/Justitia,,0.45,1
a481d78f-8df,normativo,Justice/Justitia,,0.45,1
23b1d6f0-343,normativo,Justice/Justitia,,0.45,1
23b1d6f0-343,normativo,Force/Força,,0.45,1
2c078aed-f76,normativo,Marianne,,0.45,0
ae758509-921,normativo,Justice/Justitia,,0.45,1
ae758509-921,normativo,Vérité/Verdade,,0.45,1
7833d92a-6bb,normativo,Paix/Paz,,0.85,1
7833d92a-6bb,normativo,Navigation/Commerce,,0.85,1
7833d92a-6bb,normativo,République/República,,0.85,1
1e7351b9-8ab,normativo,République/República,,0.45,0
af855a2f-e19,normativo,Justice/Justitia,,0.45,0
deb8221e-bc9,normativo,Navigation/Commerce,,0.85,1
307097c6-6f4,normativo,Alegoria feminina,2.5,0.85,0
