source,target,weight,type,regime,item_id
MOTIF_Alegoria_feminina,REG_fundacional,1.0,motif_regime,fundacional,d59aa292-df0
MOTIF_Justice_Justitia,REG_fundacional,1.1,motif_regime,fundacional,0d805e40-ced
MOTIF_Justice_Justitia,REG_fundacional,1.0,motif_regime,fundacional,4e83a07f-ca7
MOTIF_Alegoria_feminina,REG_fundacional,1.3,motif_regime,fundacional,371f116f-4cf
MOTIF_Alegoria_feminina,REG_fundacional,1.3,motif_regime,fundacional,8adb7337-286
MOTIF_Justice_Justitia,REG_fundacional,1.3,motif_regime,fundacional,b84f6d98-c8c
MOTIF_Alegoria_feminina,REG_fundacional,1.3,motif_regime,fundacional,b84f6d98-c8c
MOTIF_Justice_Justitia,REG_fundacional,1.8,motif_regime,fundacional,29894605-5d6
MOTIF_Liberté_Liberty,REG_fundacional,1.8,motif_regime,fundacional,29894605-5d6
MOTIF_Declaração_dos_Direitos,REG_fundacional,1.8,motif_regime,fundacional,29894605-5d6
MOTIF_Phrygian_cap,REG_fundacional,1.8,motif_regime,fundacional,29894605-5d6
MOTIF_Declaração_dos_Direitos,REG_fundacional,1.8,motif_regime,fundacional,cbb9963f-17a
MOTIF_Liberté_Liberty,REG_fundacional,1.0,motif_regime,fundacional,35d51ab4-aa8
MOTIF_République_República,REG_fundacional,1.0,motif_regime,fundacional,35d51ab4-aa8
MOTIF_Liberté_Liberty,REG_fundacional,1.0,motif_regime,fundacional,e933260c-901
MOTIF_Fasces,REG_fundacional,1.0,motif_regime,fundacional,e933260c-901
MOTIF_Phrygian_cap,REG_fundacional,1.0,motif_regime,fundacional,e933260c-901
MOTIF_Liberté_Liberty,REG_fundacional,1.0,motif_regime,fundacional,dd101f3a-1eb
MOTIF_Liberté_Liberty,REG_fundacional,1.0,motif_regime,fundacional,f0f589b2-8c1
MOTIF_Liberté_Liberty,REG_fundacional,1.0,motif_regime,fundacional,56ed1d5a-5c2
MOTIF_Fasces,REG_fundacional,1.0,motif_regime,fundacional,56ed1d5a-5c2
MOTIF_Phrygian_cap,REG_fundacional,1.0,motif_regime,fundacional,56ed1d5a-5c2
MOTIF_Phrygian_cap,REG_fundacional,0.3,motif_regime,fundacional,69df229d-aed
MOTIF_Liberté_Liberty,REG_fundacional,0.3,motif_regime,fundacional,69df229d-aed
MOTIF_Marianne,REG_fundacional,0.3,motif_regime,fundacional,69df229d-aed
MOTIF_Liberté_Liberty,REG_fundacional,0.1,motif_regime,fundacional,ee616189-04a
MOTIF_Marianne,REG_fundacional,0.1,motif_regime,fundacional,ee616189-04a
MOTIF_République_República,REG_fundacional,1.0,motif_regime,fundacional,f502f5cf-ed4
MOTIF_Cérès_Déméter,REG_fundacional,1.0,motif_regime,fundacional,f502f5cf-ed4
MOTIF_République_República,REG_fundacional,1.0,motif_regime,fundacional,1444ee85-06c
MOTIF_Cérès_Déméter,REG_fundacional,1.0,motif_regime,fundacional,1444ee85-06c
MOTIF_Justice_Justitia,REG_fundacional,1.0,motif_regime,fundacional,9f77480d-852
MOTIF_Justice_Justitia,REG_fundacional,1.0,motif_regime,fundacional,2852953b-8d7
MOTIF_Justice_Justitia,REG_fundacional,1.0,motif_regime,fundacional,39ef732e-918
MOTIF_Justice_Justitia,REG_fundacional,1.5,motif_regime,fundacional,b6d12c68-e76
MOTIF_République_República,REG_fundacional,1.5,motif_regime,fundacional,b6d12c68-e76
MOTIF_Phrygian_cap,REG_fundacional,1.5,motif_regime,fundacional,b6d12c68-e76
MOTIF_Égalité,REG_fundacional,1.5,motif_regime,fundacional,0f062b69-9c7
MOTIF_Liberté_Liberty,REG_fundacional,1.5,motif_regime,fundacional,0f062b69-9c7
MOTIF_Justice_Justitia,REG_fundacional,1.2,motif_regime,fundacional,fb40f20f-d10
MOTIF_Justice_Justitia,REG_normativo,1.0,motif_regime,normativo,be9ffff5-7c2
MOTIF_Alegoria_feminina,REG_normativo,1.0,motif_regime,normativo,be9ffff5-7c2
MOTIF_République_República,REG_normativo,1.0,motif_regime,normativo,be9ffff5-7c2
MOTIF_Marianne,REG_normativo,1.0,motif_regime,normativo,be9ffff5-7c2
MOTIF_Justice_Justitia,REG_normativo,1.0,motif_regime,normativo,958ca335-ae3
MOTIF_Justice_Justitia,REG_normativo,1.0,motif_regime,normativo,a481d78f-8df
MOTIF_Justice_Justitia,REG_normativo,1.0,motif_regime,normativo,23b1d6f0-343
MOTIF_Force_Força,REG_normativo,1.0,motif_regime,normativo,23b1d6f0-343
MOTIF_Marianne,REG_normativo,1.0,motif_regime,normativo,2c078aed-f76
MOTIF_Justice_Justitia,REG_normativo,1.0,motif_regime,normativo,ae758509-921
MOTIF_Vérité_Verdade,REG_normativo,1.0,motif_regime,normativo,ae758509-921
MOTIF_Paix_Paz,REG_normativo,1.0,motif_regime,normativo,7833d92a-6bb
MOTIF_Navigation_Commerce,REG_normativo,1.0,motif_regime,normativo,7833d92a-6bb
MOTIF_République_República,REG_normativo,1.0,motif_regime,normativo,7833d92a-6bb
MOTIF_République_República,REG_normativo,1.0,motif_regime,normativo,1e7351b9-8ab
MOTIF_Justice_Justitia,REG_normativo,1.0,motif_regime,normativo,af855a2f-e19
MOTIF_Navigation_Commerce,REG_normativo,1.0,motif_regime,normativo,deb8221e-bc9
MOTIF_Alegoria_feminina,REG_normativo,2.5,motif_regime,normativo,307097c6-6f4
MOTIF_Semeuse,REG_normativo,2.5,motif_regime,normativo,307097c6-6f4
MOTIF_Semeuse,REG_normativo,1.0,motif_regime,normativo,2b761519-10d
MOTIF_Phrygian_cap,REG_normativo,1.7,motif_regime,normativo,4e0ca57a-044
MOTIF_Alegoria_feminina,REG_normativo,1.7,motif_regime,normativo,4e0ca57a-044
MOTIF_Marianne,REG_normativo,1.7,motif_regime,normativo,4e0ca57a-044
MOTIF_Semeuse,REG_normativo,1.0,motif_regime,normativo,6768abc8-8e0
MOTIF_Alegoria_feminina,REG_normativo,2.0,motif_regime,normativo,284cddfe-b22
MOTIF_Marianne,REG_normativo,2.0,motif_regime,normativo,284cddfe-b22
MOTIF_Alegoria_feminina,REG_normativo,2.0,motif_regime,normativo,61d2ee4b-bbe
MOTIF_Marianne,REG_normativo,2.0,motif_regime,normativo,61d2ee4b-bbe
MOTIF_Alegoria_feminina,REG_normativo,2.0,motif_regime,normativo,bc7389e9-3a1
MOTIF_Marianne,REG_normativo,2.0,motif_regime,normativo,bc7389e9-3a1
MOTIF_Paix_Paz,REG_normativo,2.0,motif_regime,normativo,f64abf57-a9e
MOTIF_Alegoria_feminina,REG_normativo,2.0,motif_regime,normativo,f64abf57-a9e
MOTIF_Marianne,REG_normativo,2.0,motif_regime,normativo,f64abf57-a9e
MOTIF_Alegoria_feminina,REG_normativo,1.6,motif_regime,normativo,48a9d6b2-6c5
MOTIF_Marianne,REG_normativo,1.0,motif_regime,normativo,4d84fe99-7db
MOTIF_Alegoria_feminina,REG_militar,2.3,motif_regime,militar,34be13f9-baa
MOTIF_République_República,REG_militar,2.3,motif_regime,militar,34be13f9-baa
MOTIF_Fasces,REG_militar,2.3,motif_regime,militar,34be13f9-baa
MOTIF_Marianne,REG_militar,2.3,motif_regime,militar,34be13f9-baa
MOTIF_Marianne,REG_militar,1.1,motif_regime,militar,5abac01e-4ee
MOTIF_Marianne,REG_militar,1.0,motif_regime,militar,894174a1-4d8
MOTIF_Marianne,REG_militar,1.8,motif_regime,militar,34422d75-51d
