id,label,type,count,avg_endurecimento,color,size,regimes
REG_fundacional,fundacional,regime,24,1.2,#7B6B52,102,
REG_normativo,normativo,regime,23,1.97,#5C7A6E,99,
REG_militar,militar,regime,11,1.74,#8B4040,63,
REG_contra-alegoria,contra-alegoria,regime,8,0.75,#3A5C7A,54,
REG_pendente,pendente,regime,25,0,#999999,105,
MOTIF_Alegoria_feminina,Alegoria feminina,motif,15,1.72,#5C7A6E,70,contra-alegoria|fundacional|militar|normativo
MOTIF_Justice_Justitia,Justice/Justitia,motif,32,1.38,#999999,138,fundacional|militar|normativo|pendente
MOTIF_Liberté_Liberty,Liberté/Liberty,motif,11,1.08,#7B6B52,54,fundacional|militar|pendente
MOTIF_Declaração_dos_Direitos,Declaração dos Direitos,motif,2,1.8,#7B6B52,18,fundacional
MOTIF_Phrygian_cap,Phrygian cap,motif,6,1.32,#7B6B52,34,fundacional|normativo
MOTIF_République_República,République/República,motif,12,1.9,#7B6B52,58,contra-alegoria|fundacional|militar|normativo|pendente
MOTIF_Fasces,Fasces,motif,3,2.3,#7B6B52,22,fundacional|militar
MOTIF_Marianne,Marianne,motif,20,1.44,#5C7A6E,90,contra-alegoria|fundacional|militar|normativo
MOTIF_Cérès_Déméter,Cérès/Déméter,motif,3,0,#7B6B52,22,fundacional|militar
MOTIF_Égalité,Égalité,motif,1,1.5,#7B6B52,14,fundacional
MOTIF_Force_Força,Force/Força,motif,3,0,#999999,22,normativo|pendente
MOTIF_Vérité_Verdade,Vérité/Verdade,motif,1,0,#5C7A6E,14,normativo
MOTIF_Paix_Paz,Paix/Paz,motif,5,1.35,#5C7A6E,30,contra-alegoria|militar|normativo
MOTIF_Navigation_Commerce,Navigation/Commerce,motif,2,0,#5C7A6E,18,normativo
MOTIF_Semeuse,Semeuse,motif,3,2.5,#5C7A6E,22,normativo
MOTIF_Victoire_Vitória,Victoire/Vitória,motif,1,1.7,#8B4040,14,militar
