scout_id,title,country,century,medium,figure_type,regime,confidence,promoted,url,notes
SCOUT-090,"Allégorie à la Constitution, dédié à la nation françoise",FR,18th,estampa,Liberty,FUNDACIONAL,alto,,https://gallica.bnf.fr/ark:/12148/btv1b6948145c.item,
SCOUT-091,La Constitution Française : Fondée sur la liberté naturelle et les Droits imprescriptibles de l'homme,FR,18th,estampa,Liberty,FUNDACIONAL,alto,,https://gallica.bnf.fr/ark:/12148/btv1b53009905z.item,
SCOUT-092,Proclamation de la Constitution 1848,FR,19th,estampa,Constitution,FUNDACIONAL,alto,,https://gallica.bnf.fr/ark:/12148/btv1b530172177.item,
SCOUT-093,1 Dollar 'Seated Liberty' (without motto),US,19th,moeda,Liberty,FUNDACIONAL,alto,,https://en.numista.com/catalogue/pieces11472.html,
SCOUT-094,"5 Francs (Cérès, 2e République)",FR,19th,moeda,Cérès / La République,FUNDACIONAL,alto,,https://en.numista.com/catalogue/pieces1181.html,
SCOUT-095,Revista Illustrada — Alegoria da República (16 nov. 1889),BR,19th,estampa,Republic,FUNDACIONAL,alto,,https://hemerotecadigital.bn.br/acervo-digital/revista-illustrada/332747,
SCOUT-096,100 Mark Reichsbanknote — Germania seated (green seals),DE,20th,papel-moeda,Germania,NORMATIVO,alto,,https://en.numista.com/catalogue/note203616.html,
SCOUT-097,1000 Mark Reichsbanknote — allegorical figures,DE,20th,papel-moeda,Germania,NORMATIVO,medio,,https://en.numista.com/catalogue/note203637.html,
SCOUT-098,"Allégorie de la République de 1789, 1830 et 1848",FR,19th,estampa,La République (three founding moments),FUNDACIONAL,alto,,https://gallica.bnf.fr/ark:/12148/btv1b53013992k,
SCOUT-099,5 Francs — Léopold I (founding coin of Belgium),BE,19th,moeda,AUSENCIA ALEGORICA — portrait of Léopold I,FUNDACIONAL,medio,,https://en.numista.com/catalogue/pieces255.html,
SCOUT-100,"Assignat de 400 livres (21 nov. 1792, an premier de la République)",FR,18th,papel-moeda,Liberty,FUNDACIONAL,medio,,https://gallica.bnf.fr/ark:/12148/btv1b69443660.item,
