id,title,country,date,medium,figure_type,regime,seculo,confidence,promoted,url
SCOUT-090,"Allégorie à la Constitution, dédié à la nation françoise",FR,1789-1791,estampa,La Constitution / La Liberté,FUNDACIONAL,18th,alto,no,https://gallica.bnf.fr/ark:/12148/btv1b6948145c.item
SCOUT-091,La Constitution Française : Fondée sur la liberté naturelle et les Droits imprescriptibles de l'homme,FR,1789-1791,estampa,La Constitution / La Liberté / Droits de l'homme,FUNDACIONAL,18th,alto,no,https://gallica.bnf.fr/ark:/12148/btv1b53009905z.item
SCOUT-092,Proclamation de la Constitution 1848,FR,1848,estampa,La République / La Constitution,FUNDACIONAL,19th,alto,no,https://gallica.bnf.fr/ark:/12148/btv1b530172177.item
SCOUT-093,1 Dollar 'Seated Liberty' (without motto),US,1840-1866,moeda,Liberty (Seated),FUNDACIONAL,19th,alto,no,https://en.numista.com/catalogue/pieces11472.html
SCOUT-094,"5 Francs (Cérès, 2e République)",FR,1849-1851,moeda,Cérès / La République,FUNDACIONAL,19th,alto,no,https://en.numista.com/catalogue/pieces1181.html
SCOUT-095,Revista Illustrada — Alegoria da República (16 nov. 1889),BR,1889,estampa,A República,FUNDACIONAL,19th,alto,no,https://hemerotecadigital.bn.br/acervo-digital/revista-illustrada/332747
SCOUT-096,100 Mark Reichsbanknote — Germania seated (green seals),DE,1908,papel-moeda,Germania,NORMATIVO,20th,alto,no,https://en.numista.com/catalogue/note203616.html
SCOUT-097,1000 Mark Reichsbanknote — allegorical figures,DE,1910,papel-moeda,Germania / Navigation / Agriculture,NORMATIVO,20th,medio,no,https://en.numista.com/catalogue/note203637.html
SCOUT-098,"Allégorie de la République de 1789, 1830 et 1848",FR,1848-1852,estampa,La République (three founding moments),FUNDACIONAL,19th,alto,no,https://gallica.bnf.fr/ark:/12148/btv1b53013992k
SCOUT-099,5 Francs — Léopold I (founding coin of Belgium),BE,1832-1849,moeda,AUSENCIA ALEGORICA — portrait of Léopold I,FUNDACIONAL,19th,medio,no,https://en.numista.com/catalogue/pieces255.html
SCOUT-100,"Assignat de 400 livres (21 nov. 1792, an premier de la République)",FR,1792,papel-moeda,La République / La Liberté,FUNDACIONAL,18th,medio,no,https://gallica.bnf.fr/ark:/12148/btv1b69443660.item
SCOUT-101,1 Dollar Silver Certificate 'Educational Series' — History Instructing Youth,US,1896,papel-moeda,History / Columbia (instructing Youth),NORMATIVO,19th,alto,no,https://en.numista.com/catalogue/note207329.html
SCOUT-102,Constitution de la Belgique — Édition illustrée (frontispice allégorique),BE,1852,frontispicio,La Belgique (maiden with Tables of the Law),FUNDACIONAL,19th,alto,no,https://neptun.unamur.be/ark:/83449/0091bdf9fa
SCOUT-103,50 Cruzeiros — Efígie da República (Benedito Ribeiro / Tônia Carreiro),BR,1965,moeda,A República (efígie),NORMATIVO,20th,alto,no,https://en.numista.com/9337
SCOUT-104,"Germania definitive stamp (10 Pfennig, Deutsches Reich)",DE,1900-1920,selo,Germania,NORMATIVO,19th,alto,no,https://colnect.com/en/stamps/stamp/179248
SCOUT-106,1 Piastre de Commerce — French Indochina (Marianne seated),FR,1885-1928,moeda,"Marianne / La République (seated, colonial)",MILITAR,19th,alto,no,https://en.numista.com/11287
SCOUT-107,"La Semeuse (15 centimes, type Roty) — selo definitivo francês",FR,1903-1960,selo,La Semeuse (Marianne semeadora),NORMATIVO,20th,alto,no,https://colnect.com/en/stamps/list/country/74-France/year/1903
SCOUT-108,½ Penny — William III (1st issue) / Britannia seated (earliest coin),UK,1695-1698,moeda,"Britannia (seated, earliest coin appearance)",FUNDACIONAL,17th,alto,no,https://en.numista.com/catalogue/pieces90365.html
SCOUT-109,1 Cruzeiro (cédula) — Efígie da República (2ª edição),BR,1970-1972,papel-moeda,A República (efígie em medalha),NORMATIVO,20th,alto,no,https://en.numista.com/catalogue/note203551.html
SCOUT-110,50 Mark Reichsbanknote (24 Jun. 1919) — última cédula imperial / primeira Weimar,DE,1919,papel-moeda,Allegorical female figure (transitional),FUNDACIONAL,20th,medio,no,https://en.numista.com/catalogue/note202186.html
SCOUT-111,20 Francs Banque du Congo Belge — Allegory of Europe + African woman,BE,1912-1937,papel-moeda,Allegory of Europe / La Belgique (colonial),MILITAR,20th,alto,no,https://en.numista.com/catalogue/note258714.html
SCOUT-112,100 Francs Banque du Congo Belge — Allegory of Europe kneeling,BE,1912-1929,papel-moeda,Allegory of Europe (kneeling) + African boys,MILITAR,20th,alto,no,https://en.numista.com/258715
SCOUT-113,Monument aux Pionniers Belges au Congo — 'La race noire accueillie par la Belgique',BE,1911-1921,monumento,"La Belgique (seated, colonial) + African woman and children",MILITAR,20th,alto,no,https://en.wikipedia.org/wiki/Monument_to_the_Belgian_Pioneers_in_Congo
SCOUT-114,Science Presenting Steam and Electricity to Commerce and Manufacture — $2 Silver Certificate,US,,papel-moeda,Columbia / Science / Progress,normativo,19th,alta,no,https://americanhistory.si.edu/collections/object/nmah_1817050
SCOUT-115,Electricity Presenting Light to the World — $5 Silver Certificate,US,,papel-moeda,Columbia / Electricity / Progress,normativo,19th,alta,no,https://americanhistory.si.edu/collections/object/nmah_1816788
